Centro,Municipio,Sitio,N�mero,T�tulo,F.Inicio,F.Fin,Especialidad,Elemento,Tecnologia,Tipo Equipo,Clave Cierre,SW,HW,C,AC,DC,PC,MTTO,AT,D,P,BT,Estado,Observaciones,descripcion,�tima Acci�n ,Tg (min)
CT GUINES,Guines,RBS URA GUINES,T20220418120107024,Sitio fuera de servicio por fallo AC,18/04/2022 11:00:00 a.�m.,18/04/2022 12:16:00 p.�m.,Acceso,RBS 6301,RADIOBASE,Movil,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,Retorno del AC al sitio.,Sitio fuera de servicio por fallo AC,Retorno del AC al sitio.,76
CT GUINES,SAN NICOLAS,CT SAN NICOLAS DE BARI,T20220418105248034,TAU-C 180 trabajando con fallas,18/04/2022 10:52:00 a.�m.,04/05/2022 12:00:00 p.�m.,Core,Ura EAR,AXE,URA,SW,1,0,0,0,0,0,0,0,0,0,0,CERRADO,Reset por HW,TAU-C 180 trabajando con fallas. Fault Code 3 Generador de timbre.Se resetea por soft sin resultados. Se comunica con abonados y se verifica que tienen servicio. Se notifica a intervencion GN para resetear por HW.,Reset por HW,23108
CT GUINES,BATABANO,CT BATABANO,T20220417222731060,Sitio WiFi sin servicio por fallo de AC.,17/04/2022 10:27:00 p.�m.,18/04/2022 12:44:00 a.�m.,Acceso,LANSWITCH,LANSWITCH ACCESO,Red de Acceso,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,Retorna AC y restablece el servicio.,Sitio WiFi-Parque Bataban� sin servicio por fallo de AC.,Retorna AC y restablece el servicio.,137
CT GUINES,Batabano,RBS CAMACHO,T20220417221040079,RBS CAMACHO fuera de servicio.,17/04/2022 10:10:00 p.�m.,18/04/2022 12:44:00 a.�m.,Acceso,RBS 2106,RADIOBASE,Movil,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,Retorna AC y restablece el servicio.,RBS CAMACHO fuera de servicio por fallo AC. Informa la Empresa Electrica d�ficit de generaci�n.,Retorna AC y restablece el servicio.,154
CT GUINES,Guines,RBS URA GUINES,T20220417193909027,RBS sin servicio por fallo de AC.,17/04/2022 06:20:00 p.�m.,17/04/2022 07:55:00 p.�m.,Acceso,RBS 6301,RADIOBASE,Movil,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,Retorno de la AC  y restablecimiento del servicio y el tr�fico en celdas.,RBS-Consejo Popular-GN sin servicio por fallo de AC. Despacho de Emprea El�ctrica informa de un d�ficit de generaci�n.,Retorno de AC y restablecen los servicios.,95
CT GUINES,GUINES,CONSEJO POPULAR NO. 1 GN,T20220417185352069,Sitio WiFi sin servicio por fallo de AC.,17/04/2022 05:50:00 p.�m.,17/04/2022 09:58:00 p.�m.,Acceso,LANSWITCH,LANSWITCH ACCESO,Red de Acceso,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,Retorno de AC y restablecen los servicios.,Sitio WiFi-Consejo Popular de GN sin servicio por fallo de AC.,Retorno de AC y restablecen los servicios.,248
CT SAN JOSE DE LAS LAJAS,San Jose de las Lajas,RBS EMI LIBERACION,T20220416164243008,TRX 4 y 5 fuera de servicio,16/04/2022 04:42:00 p.�m.,18/04/2022 11:00:00 p.�m.,Acceso,RBS 2206,RADIOBASE,Movil,HW,0,1,0,0,0,0,0,0,0,0,0,CERRADO,Cambio de tarjeta de radio,"Se interrumpen los TRX 4 y 5 de la RBS, se le hicieron varias pruebas a trav�z de software y no se resolvi� el problema. Queda pendiente por acceso al local.", Cambio de tarjeta de radio,3258
CT SANTA CRUZ DEL NORTE,JARUCO,CT BAINOA,T20220416164032049,Sitio wifi fuera de servicio,16/04/2022 04:40:00 p.�m.,17/04/2022 09:00:00 a.�m.,Acceso,LANSWITCH,LANSWITCH ACCESO,Red de Acceso,SW,1,0,0,0,0,0,0,0,0,0,0,CERRADO,"Reset a unidad ethernet ES16B ubicada en el MUX-1660 SM , slot-33. Restablece servicio y tr�fico los sitios WiFi de Bainoa, Pipian y Cangre.",Se interrumpe el sitio wifi por problemas con el TSS-100,"Reset a unidad ethernet ES16B ubicada en el MUX-1660 SM , slot-33. Restablece servicio y tr�fico los sitios WiFi de Bainoa, Pipian y Cangre.",980
CT SANTA CRUZ DEL NORTE,MADRUGA,CT PIPIAN,T20220416162416077,Sitio wifi fuera de servicio,16/04/2022 04:24:00 p.�m.,17/04/2022 09:00:00 a.�m.,Acceso,LANSWITCH,LANSWITCH ACCESO,Red de Acceso,SW,1,0,0,0,0,0,0,0,0,0,0,CERRADO,"Reset a unidad ethernet ES16B ubicada en el MUX-1660 SM , slot-33. Restablece servicio y tr�fico los sitios WiFi de Bainoa, Pipian y Cangre.",Se interrumpe el sitio wifi por problemas con el TSS-100,"Reset a unidad ethernet ES16B ubicada en el MUX-1660 SM , slot-33. Restablece servicio y tr�fico los sitios WiFi de Bainoa, Pipian y Cangre.",996
CT GUINES,Guines,CT EL CANGRE,T20220416161801094,Sitio wifi fuera de servicio,16/04/2022 04:18:00 p.�m.,17/04/2022 09:00:00 a.�m.,Acceso,LANSWITCH,LANSWITCH ACCESO,Red de Acceso,SW,1,0,0,0,0,0,0,0,0,0,0,CERRADO,"Reset a unidad ethernet ES16B ubicada en el MUX-1660 SM , slot-33. Restablece servicio y tr�fico los sitios WiFi de Bainoa, Pipian y Cangre.",Se interrumpe el sitio wifi por problemas con el TSS,"Reset a unidad ethernet ES16B ubicada en el MUX-1660 SM , slot-33. Restablece servicio y tr�fico los sitios WiFi de Bainoa, Pipian y Cangre.",1002
CT GUINES,Guines,RBS ESPIGA DE ORO,T20220415141637028,RBS ESPIGA DE ORO con sector 3 averiado.,15/04/2022 02:16:00 p.�m.,11/05/2022 12:00:00 p.�m.,Acceso,RBS 6330,RADIOBASE,Movil,HW,0,1,0,0,0,0,0,0,0,0,0,CERRADO,Sustituci�n de RRU,La movil informa que la RRU del tercer sector de la radiobase se encuentra averiado por lo que se interrumpe por peque�os intervalos de tiempo. Pendiente por sustitucion.,RRU est� Ok,37304
CT SANTA CRUZ DEL NORTE,Santa Cruz del Norte,BIBLIOTECA CAMILO--HERSHEY,T20220413174304058,Sitio wifi fuera de servicio,13/04/2022 05:43:00 p.�m.,14/04/2022 01:00:00 p.�m.,Acceso,LANSWITCH,LANSWITCH ACCESO,Red de Acceso,C,0,0,1,0,0,0,0,0,0,0,0,CERRADO,La causa del problema del  cable fue que un cami�n se enred� al pasar por la zona. El grupo de radioenlace fue al sitio y sustituyo el cable de exterior de los 2 AP. Luego se establecieron los servicios.,"Se interrumpe el sitio wifi por causa deconocida, se informa a Fernando La O y este afirma que a esa hora el sitio est� inaccesible",La causa del problema del  cable fue que un cami�n se enred� al pasar por la zona. El grupo de radioenlace fue al sitio y sustituyo el cable de exterior de los 2 AP. Luego se establecieron los servicios. ,1157
CT SAN JOSE DE LAS LAJAS,SAN JOSE DE LAS LAJAS,ISCAH (INST SUP CIENCIAS AGRARIAS),T20220413030255086,PABX sin servicio por fallo de AC.,12/04/2022 03:05:00 p.�m.,15/04/2022 01:00:00 p.�m.,Pizarras Privadas,PANASONIC KX-TD500,PANASONIC,PIZARRAS PRIVADAS,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,36 Restean backup de la pizarra y restablece el servicio.,PABX sin servicio por fallo de AC.,Restean backup de la pizarra y restablece el servicio.,4195
CT SAN JOSE DE LAS LAJAS,SAN JOSE DE LAS LAJAS,CT TAPASTE,T20220412071701055,Fallo AC,12/04/2022 12:44:00 a.�m.,12/04/2022 10:40:00 a.�m.,Acceso,RBS 6301,RADIOBASE,Movil,SW,1,0,0,0,0,0,0,0,0,0,0,CERRADO,"Se resetea la RBS a trav�s de la desconecci�n y reconecci�n de su energ�a, logrando el restablecimiento del servicio de las celdas afectadas.",Fallo AC,"Se resetea la RBS a traves de la desconecci�n y reconecci�n de la energ�a que alimenta a esta, restableci�ndose el servicio de las celdas afectadas.",596
CT SAN JOSE DE LAS LAJAS,SAN JOSE DE LAS LAJAS,COCC 1,T20220411214512082,Banco de bateria abierto.,11/04/2022 09:45:00 p.�m.,14/04/2022 12:22:00 p.�m.,"Energetica, Climatizacion y SPI",UPS EATON 9PXM12,EATON,UPS,DC,0,0,0,0,1,0,0,0,0,0,0,CERRADO,"Se retiraron las bater�as averiadas del UPS 1, Se compensaron la cantidad de bater�as de ambos UPS, quedando funcionales los mismos.","Banco de bateria abierto del UPS 1 , una de las celdas del mismo esta expulsando hidrogeno por lo que se encuentra averiado.","Se retiraron las bater�as averiadas del UPS 1, Se compensaron la cantidad de bater�as de ambos UPS, quedando funcionales los mismos.",3757
CT GUINES,Guines,Prision Panama,T20220411144317093,Fallo AC,11/04/2022 02:43:00 p.�m.,11/04/2022 04:20:00 p.�m.,Acceso,RBS 2216,RADIOBASE,Movil,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,Restablece AC,Fallo AC,Restablece AC,97
CT SANTA CRUZ DEL NORTE,Madruga,JOVEN CLUB AGUACATE,T20220411112310030,LSW JOVEN CLUB AGUACATE fuera de servicio,11/04/2022 11:23:00 a.�m.,11/04/2022 04:00:00 p.�m.,Acceso,LANSWITCH,LANSWITCH ACCESO,Red de Acceso,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,Restablece el AC,LSW JOVEN CLUB AGUACATE fuera de servicio por fallo de AC,Restablece AC,277
CT SAN JOSE DE LAS LAJAS,BEJUCAL,BIOCEN,T20220410224344025,rbs fuera de servicio,10/04/2022 10:43:00 p.�m.,11/04/2022 09:00:00 a.�m.,Acceso,RBS 6601,RADIOBASE,Movil,SW,1,0,0,0,0,0,0,0,0,0,0,CERRADO,Restablece el servicio afectado.,Se interrumpio los servicios de la RBS de Biocen. Se llama a la obe y se ve que no hay afectacion de servicio en la zona. Se llama al grupo de intervencion para ir al sitio.,Se le realiza un reset al MUX del centro Biocen.,617
CT SANTA CRUZ DEL NORTE,MADRUGA,CT MADRUGA,T20220410005420036,Sitio WiFi sin servicio por fallo de AC.,09/04/2022 09:35:00 a.�m.,09/04/2022 10:49:00 a.�m.,Acceso,LANSWITCH,LANSWITCH ACCESO,Red de Acceso,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,Retorno de la AC y restablecimiento del servicio.,Sitio WiFi Parque Madruga sin servicio por fallo de AC. Despacho de Empresa El�ctrica reporta el fallo por d�fict de generaci�n.,Retorno de la AC y restablecimiento del servicio.,74
CT SANTA CRUZ DEL NORTE,MADRUGA,RADIOCUBA MADRUGA,T20220409110625011,Micro RBS sin servicio por fallo de AC,09/04/2022 09:35:00 a.�m.,09/04/2022 10:50:00 a.�m.,Acceso,MicroRBS 6303,RADIOBASE,Movil,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,Retorno de la AC y restablecimiento del servicio.,"Micro RBS-Parque Madruga sin servicio por fallo de AC, a causa de d�fict de generaci�n, seg�n la Empresa El�ctrica.",Retorno de la AC y restablecimiento del servicio.,75
CT SAN JOSE DE LAS LAJAS,Bejucal,COMUNITARIA BEJUCAL,T20220408155817071,RBS interrumpida por fallo AC,08/04/2022 01:58:00 p.�m.,08/04/2022 07:15:00 p.�m.,Acceso,RBS 6301,RADIOBASE,Movil,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,Retorno de la AC y restablecimiento del servicio.,Se interrumpe la RBS por fallo Ac en el Sitio,Retorno de la AC y restablecimiento de los servicios.,317
CT SAN JOSE DE LAS LAJAS,SAN JOSE DE LAS LAJAS,OUTDOOR JAMAICA,T20220408110332065,Sitio WIFI afectado por problemas con el LSW,08/04/2022 11:03:00 a.�m.,08/04/2022 04:00:00 p.�m.,Acceso,LANSWITCH,LANSWITCH ACCESO,Red de Acceso,SW,1,0,0,0,0,0,0,0,0,0,0,CERRADO,"Se configur� dicho LSW al este reiniciarse de fabrica, entrando asi los servisios afectados","Se interrumpe el sitio wifi por problemas con el lsw, el cual parece estar averiado","Se configur� dicho LSW al este reiniciarse de fabrica, entrando asi los servisios afectados",297
CT SANTA CRUZ DEL NORTE,Santa Cruz del Norte,VSAT Parador Las Palmeras 10.1.16.249,T20220407121711049,VSAT MYB_249 desconectada por m�s de 48 hrs,07/04/2022 12:17:00 p.�m.,09/05/2023 12:00:00 p.�m.,Red de Acceso,VSAT,SISTEMA SATELITAL VSAT,Mantenimiento a los Sistemas de Microondas y Radio Enlaces principales y secundarios analogicos,HW,0,1,0,0,0,0,0,0,0,0,0,CERRADO,Cambio de modem.,VSAT MYB_249 desconectada por m�s de 48 hrs sin conocerse la causa,Cambio de modem.,571663
CT SANTA CRUZ DEL NORTE,Jaruco,RBS BAINOA FC,T20220407163103074,Sitio fuera de servicio,07/04/2022 11:40:00 a.�m.,07/04/2022 10:00:00 p.�m.,Acceso,RBS 2106,RADIOBASE,Movil,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,Retorno AC al sitio,11:40 Sale de servicio la RBS por fallo de AC. A las 14:00 regresa la AC al sitio y no levantan el minilink ni la RBS (Se determina a las 16:00 atraves de colaborador) Se notifica a Int NX y Serv. M�viles., Se reporta sitio sin coorriente a la UNE(acometida al sitio con problemas). Retorna la AC 22:00.,620
CT SAN JOSE DE LAS LAJAS,SAN JOSE DE LAS LAJAS,OUTDOOR JAMAICA,T20220408080011025,Sitio fuera de servicio por falo AC,07/04/2022 12:00:00 a.�m.,08/04/2022 04:00:00 p.�m.,Acceso,LANSWITCH,LANSWITCH ACCESO,Red de Acceso,SW,1,0,0,0,0,0,0,0,0,0,0,CERRADO,"Se configur� dicho LSW al este reiniciarse de fabrica, entrando asi los servisios afectados",Sitio fuera de servicio por falo AC,"Se configur� dicho LSW al este reiniciarse de fabrica, entrando asi los servisios afectados",2400
CT GUINES,Guines,RBS ESPIGA DE ORO,T20220406225229074,sector 3 de RBS fuera de servicio.,06/04/2022 10:52:00 p.�m.,12/04/2022 10:45:00 a.�m.,Acceso,RBS 6330,RADIOBASE,Movil,HW,0,1,0,0,0,0,0,0,0,0,0,CERRADO,Se sustituye el m�dulo de radio RRU restableci�ndose el servicio en las celdas afectadas.,Al salir alarmado el sector 3 se dio un restar al mismo. No se resolvio por lo que se llamo al grupo de la movil.,Se sustituye m�dulo de radio RRU restableci�ndose el servicio en celdas afectadas.,7913
CT SAN JOSE DE LAS LAJAS,BEJUCAL,BIOCEN,T20220406224534038,rbs fuera de servicio por fallo de ac,06/04/2022 03:30:00 p.�m.,07/04/2022 09:30:00 a.�m.,Acceso,RBS 6601,RADIOBASE,Movil,SW,1,0,0,0,0,0,0,0,0,0,0,CERRADO,Se acciona el brecker y queda restablecido el servicio.,Se fue la corriente en el sitio y se interrumpio el servicio de la RBS.,"la afectacion fue ocacionada debido a que el brecker de alimentacion de la radiobase estaba deisparado, se acciona y queda restablecido el servicio.",1080
CT SAN JOSE DE LAS LAJAS,San Jose de las Lajas,RBS SAN A. DE LAS VEGAS,T20220406104010056,RBS fuera de servicio,06/04/2022 10:40:00 a.�m.,06/04/2022 07:00:00 p.�m.,Acceso,RBS 2106,RADIOBASE,Movil,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,El grupo de energetica fue al sitio y identifico que el magnetico del grupo estaba quemado por lo que habia que sustituirlo. Se alimento la RBS directo a la calle y se establecio el servicio.,Se afecto el servicio de la RBS sin conocer las causas del problema.,El grupo de energetica fue al sitio y identifico que el magnetico del grupo estaba quemado por lo que habia que sustituirlo. Se alimento la RBS directo a la calle y se establecio el servicio. ,500
CT GUINES,Guines,RBS CENTRO ESCOLAR,T20220404173535047,RBS interrumpida por fallo AC,04/04/2022 12:35:00 p.�m.,05/04/2022 09:50:00 a.�m.,Acceso,RBS 6301,RADIOBASE,Movil,SW,1,0,0,0,0,0,0,0,0,0,0,CERRADO,Reseteado el terminal Mini-Link en extremo Centro Escolar y restablecimiento del servicio y el tr�fico en celdas 3G y 4G de RBS.,Se interrumpe la RBS por fallo AC y cuando restablece el ac en el sitio esta no levanta.,Reseteado el terminal Mini-Link en el extremo Centro Escolar y restablecimiento del servicio y el tr�fico en celdas 3G y 4G de RBS.,1275
CT SAN JOSE DE LAS LAJAS,Quivican,RBS PABLO NORIEGA,T20220404072455057,RBS Pablo Noriega fuera de servicio por fallo de AC.,04/04/2022 06:24:00 a.�m.,04/04/2022 11:00:00 a.�m.,Acceso,RBS 6301,RADIOBASE,Movil,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,Retorno de la AC y restablecimiento del servicio.,RBS Pablo Noriega fuera de servicio por fallo de AC.,Retorno de la AC y restablecimiento del servicio.,276
CT SAN JOSE DE LAS LAJAS,San Jose de las Lajas,FISCALIA SJ,T20220404072726049,RBS Fiscalia fuera de servicio por fallo de AC.,04/04/2022 05:57:00 a.�m.,04/04/2022 01:00:00 p.�m.,Acceso,RBS 6301,RADIOBASE,Movil,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,Restablece el AC en el sitio,RBS Fiscalia fuera de servicio por fallo de AC.,Restablece el AC en el sitio,423
CT SAN JOSE DE LAS LAJAS,San Jose de las Lajas,RBS MICRO SAN JOSE,T20220404072453049,RBS MICRO SAN JOSE fuera de servicio por fallo AC,04/04/2022 05:52:00 a.�m.,04/04/2022 01:00:00 p.�m.,Acceso,MicroRBS 6303,RADIOBASE,Movil,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,Restablece el AC en el sitio,RBS MICRO SAN JOSE fuera de servicio por fallo AC,Restablece el AC en el sitio,428
CT SAN JOSE DE LAS LAJAS,San Jose de las Lajas,RBS SAN A. DE LAS VEGAS,T20220404071919073,RBS SAN A. DE LAS VEGAS fuera de servicio,04/04/2022 05:43:00 a.�m.,04/04/2022 02:00:00 p.�m.,Acceso,RBS 2106,RADIOBASE,Movil,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,Restablece el AC en el sitio,RBS SAN A. DE LAS VEGAS fuera de servicio por fallo AC,Restablece el AC en el sitio,497
CT SAN JOSE DE LAS LAJAS,Quivican,RBS TITAN,T20220404071858055,RBS TITAN fuera de servicio,03/04/2022 11:08:00 p.�m.,04/04/2022 11:10:00 a.�m.,Acceso,RBS 2206,RADIOBASE,Movil,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,Retorno de la AC y restablecimiento del servicio.,RBS TITAN fuera de servicio,Retorno de la AC y restablecimiento del servicio.,722
CT GUINES,Guines,CT EL CANGRE,T20220402080348033,wifi fuera de servicio por fallo de ac,02/04/2022 08:03:00 a.�m.,02/04/2022 03:24:00 p.�m.,Acceso,LANSWITCH,LANSWITCH ACCESO,Red de Acceso,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,Retorno de la AC y restablecimiento de los servicios.,Se fue la corriente en el sitio y al no estar funcionando el grupo del centro se interrumpio el servicio.,Retorno de la AC y restablecimiento de los servicios.,441
CT GUINES,Nueva Paz,Vegas,T20220401100136089,wifi fuera de servicio por fallo de ac,01/04/2022 10:01:00 a.�m.,01/04/2022 11:00:00 a.�m.,Acceso,LANSWITCH,LANSWITCH ACCESO,Red de Acceso,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,se establecio la corriente y todo salio ok.,se fue la corriente a causa de via libre por parte de la OBE.,se establecio la corriente y todo salio ok.,59
CT GUINES,Guines,CT EL CANGRE,T20220401095850085,wifi fuera de servicio por fallo de ac,01/04/2022 09:58:00 a.�m.,01/04/2022 11:00:00 a.�m.,Acceso,LANSWITCH,LANSWITCH ACCESO,Red de Acceso,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,se establecio la corriente y todo salio ok.,se fue la corriente a causa de via libre por parte de la OBE.,se establecio la corriente y todo salio ok.,62
CT GUINES,NUEVA PAZ,RADIOCUBA NUEVA PAZ,T20220401095549073,wifi fuera de servicio por fallo de ac,01/04/2022 09:55:00 a.�m.,01/04/2022 11:00:00 a.�m.,Acceso,Access Point (AP),ACCESS POINT (AP),Mantenimiento a los Sistemas de Microondas y Radio Enlaces principales y secundarios analogicos,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,se establecio la corriente y todo salio ok.,se fue la corriente en el sitio a causa de via libre por la OBE.,se establecio la corriente y todo salio ok.,65
CT GUINES,Nueva Paz,RBS CONEJITO NUEVA PAZ,T20220401094722015,rbs fuera de servicio por fallo de ac,01/04/2022 09:47:00 a.�m.,01/04/2022 11:00:00 a.�m.,Acceso,LANSWITCH,LANSWITCH ACCESO,Red de Acceso,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,se establecio la corriente y todo salio ok.,Se fue la corriente en el sitio por via libre.,se establecio la corriente y todo salio ok.,73
CT GUINES,NUEVA PAZ,RADIOCUBA NUEVA PAZ,T20220401093701039,rbs fuera de servicio por fallo de ac,01/04/2022 09:37:00 a.�m.,01/04/2022 11:00:00 a.�m.,Acceso,MicroRBS 6303,RADIOBASE,Movil,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,se establecio la corriente y todo salio ok.,Se llamo a la obe y se vio que hay afectacion de servicio por via libre.,se establecio la corriente y todo salio ok.,83
CT SANTA CRUZ DEL NORTE,SANTA CRUZ DEL NORTE,CT BOCA DE JARUCO,T20220401084910002,RBS fuera de servicio,01/04/2022 08:49:00 a.�m.,01/04/2022 11:00:00 a.�m.,Acceso,RBS 2106,RADIOBASE,Movil,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,el grupo del sitio arranco y se establecieron los servicios de ls RBS. Todo salio ok.,En el sitio se estan presentando variaciones de voltaje segun la OBE. Se llama al grupo de intervencion para que fuera al sitio. ,se establecio la corriente en el sitio. todo salio ok.,131
CT GUINES,Melena del Sur,RBS ESCUELA SEC BAS MS,T20220331225703052,RBS ESCUELA SEC BAS MS fuera de servicio.,31/03/2022 08:57:00 p.�m.,06/04/2022 10:00:00 a.�m.,Acceso,RBS 6330,RADIOBASE,Movil,HW,0,1,0,0,0,0,0,0,0,0,0,CERRADO,Se cambio la RAU del MINILINK y se establecieron los servicios.,RBS ESCUELA SEC BAS MS fuera de servicio se realizan varias averiguaciones y se desconoce el motivo por lo que queda pendiente. Se le informa lo sucedido a todos los jefes pertinentes.,Se cambio la RAU del MINILINK y se establecieron los servicios. ,7983
CT SANTA CRUZ DEL NORTE,Santa Cruz del Norte,VSAT UBC CA El Pe�on  10.1.16.241,T20220331142235025,MYB_241_VBC CA El Pe�on ,31/03/2022 02:22:00 p.�m.,04/05/2022 12:00:00 p.�m.,Red de Acceso,VSAT,SISTEMA SATELITAL VSAT,Mantenimiento a los Sistemas de Microondas y Radio Enlaces principales y secundarios analogicos,HW,0,1,0,0,0,0,0,0,0,0,0,CERRADO,Modem Averiado y no hay repuesto,"MYB_241_VBC CA El Pe�on por es estar m�s de 48h desconectada se le env�an los par�metros y no se conecta

",Estaba en modo hold,48818
CT SANTA CRUZ DEL NORTE,MADRUGA,CT AGUACATE,T20220331000058068, Dslam fuera de servicio,30/03/2022 11:00:00 p.�m.,31/03/2022 06:25:00 a.�m.,Acceso,Telindus MiniDslam 2403,DSLAM TELINDUS,Red de Acceso,SW,1,0,0,0,0,0,0,0,0,0,0,CERRADO,"Reset por HW, quedando en servicio",Dslam fuera de servicio, Reset por hardware,445
CT SAN JOSE DE LAS LAJAS,San Jose de las Lajas,RBS SAN A. DE LAS VEGAS,T20220330181243020, Sitio fuera de servicio por fallo AC,30/03/2022 05:13:00 p.�m.,30/03/2022 07:38:00 p.�m.,Acceso,RBS 2106,RADIOBASE,Movil,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,Retorno AC al sitio,Sitio fuera de servicio por fallo AC, Retorno AC al sitio,145
CT SAN JOSE DE LAS LAJAS,SAN JOSE DE LAS LAJAS,CT SAN ANTONIO DE LAS VEGAS,T20220330173806008, Sitio fuera de servicio por fallo AC,30/03/2022 04:42:00 p.�m.,30/03/2022 07:38:00 p.�m.,Acceso,LANSWITCH,LANSWITCH ACCESO,Red de Acceso,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,Retorno AC al sitio,Sitio fuera de servicio por fallo AC, Retorno AC al sitio,176
CT SAN JOSE DE LAS LAJAS,BEJUCAL,BIOCEN,T20220330072529028,rbs fuera de servicio. ,30/03/2022 07:25:00 a.�m.,30/03/2022 09:00:00 a.�m.,Acceso,RBS 6601,RADIOBASE,Movil,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,Retorno AC al sitio,Se interrumpe la RBS del sitio sin conocer las causas de la interrupcion., Retorno AC al sitio,95
CT SANTA CRUZ DEL NORTE,SANTA CRUZ DEL NORTE,CAMPISMO PENAS BLANCAS,T20220329200452090,lsw fuera de servicio,29/03/2022 08:04:00 p.�m.,30/03/2022 11:00:00 a.�m.,Acceso,LANSWITCH,LANSWITCH ACCESO,Red de Acceso,C,0,0,1,0,0,0,0,0,0,0,0,CERRADO,Cambio de jumper optico entre minilink y LSW Tropas guardafronteras,Se interrumpio el servicio del lsw y se llama a Fernado la O. El informa que esta el sitio sin AC., Cambio de jumper optico entre minilink y LSW Tropas guardafronteras,896
CT SANTA CRUZ DEL NORTE,SANTA CRUZ DEL NORTE,CAMPISMO PLAYA AMARILLA,T20220329200128033,lsw fuera de servicio,29/03/2022 08:01:00 p.�m.,30/03/2022 11:00:00 a.�m.,Acceso,LANSWITCH,LANSWITCH ACCESO,Red de Acceso,C,0,0,1,0,0,0,0,0,0,0,0,CERRADO,Cambio de jumper optico entre minilink y LSW Tropas guardafronteras,Se interrumpio el servicio del lsw y se llama a Fernado la O. El informa que esta el sitio sin AC., Cambio de jumper optico entre minilink y LSW Tropas guardafronteras,899
CT SAN JOSE DE LAS LAJAS,Bejucal,RBS BUENAVENTURA,T20220329134531066,rbs fuera de servicio por fallo de ac,29/03/2022 01:45:00 p.�m.,29/03/2022 02:00:00 p.�m.,Acceso,RBS 2206,RADIOBASE,Movil,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,se establecio la corriente y todo salio ok.,Se fue la corriente en el sitio y se interrumpio la RBS.,se establecio la corriente en el sitio y todo salio ok. ,15
CT GUINES,NUEVA PAZ,CT NUEVA PAZ,T20220329101218003,wifi fuera de servicio,29/03/2022 10:12:00 a.�m.,29/03/2022 01:00:00 p.�m.,Acceso,LANSWITCH,LANSWITCH ACCESO,Red de Acceso,SW,1,0,0,0,0,0,0,0,0,0,0,CERRADO,se dio restar al AP y se establecieron los servicios.,Se fue la corriente en el sitio y se interrumpio la WIFI del sitio.,se dio un restar al AP y se establecieron los servicios. ,168
CT SAN JOSE DE LAS LAJAS,SAN JOSE DE LAS LAJAS,CENTRO_MULTISERVICIOS,T20220329092203001,wifi interrumpida a causa de fallo de ac,29/03/2022 09:22:00 a.�m.,29/03/2022 01:00:00 p.�m.,Acceso,LANSWITCH,LANSWITCH ACCESO,Red de Acceso,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,se establecio la corriente en el sitio y todo salio OK.,Se interrumpe el servicio por fallo de ac en el sitio. Se llama a la OBE y se ve que hay via libre hasta las 6 de la tarde.,se establecio la corriente en el sitio y todo salio OK. ,218
CT SAN JOSE DE LAS LAJAS,SAN JOSE DE LAS LAJAS,JOVEN CLUB PARQUE SAN JOSE,T20220329092015002,wifi interrumpida por fallo de ac,29/03/2022 09:20:00 a.�m.,29/03/2022 01:00:00 p.�m.,Acceso,LANSWITCH,LANSWITCH ACCESO,Red de Acceso,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,se establecio la corriente en el sitio y todo salio OK.,Se interrumpe el servicio por fallo de ac en el sitio. Se llama a la OBE y se ve que hay via libre hasta las 6 de la tarde.,se establecio la corriente en el sitio y todo salio OK. ,220
